role,company,ai_related
President,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
Prime Minister,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,coachella,False
NA,SKIMS,False
Comedian,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,True
NA,NA,True
NA,NA,True
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Y,CNN,False
Y,CNN,False
Y,NA,False
Y,NA,False
Y,NA,False
Y,NA,False
Y,BBC,False
Y,BBC,False
Y,BBC,False
Y,BBC,False
President,United States,False
President,United States,False
President,United States,False
President,United States,False
President,United States,False
President,United States,False
President,United States,False
Founder,SpaceX,True
Founder,SpaceX,True
Founder,SpaceX,True
Founder,SpaceX,True
Founder,SpaceX,True
NA,National Archives and Records Administration,False
NA,National Archives and Records Administration,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
CEO,X Super Official,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,Reuters,False
NA,NA,False
NA,National Archives and Records Administration,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Actor,NA,False
Footballer,Liverpool FC,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,ABC News,False
founder,NA,False
NA,Walmart,False
NA,United Nations,False
NA,United Nations,False
founder,NA,False
founder,NA,False
NA,NA,False
NA,BBC News,False
U.S. Senator,Vermont,False
NA,NA,False
NA,NA,False
Astrophysicist,NA,True
Astrophysicist,NA,False
Astrophysicist,NA,False
Astrophysicist,NA,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
Vice President,United States,False
NA,NA,False
NA,NA,False
NA,NA,False
Writer,NA,False
Writer,NA,False
