role,company,ai_related
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Institute Professor,MIT,False
Institute Professor,MIT,False
Founder,Stratechery,False
Founder,Stratechery,False
Founder,Stratechery,False
Founder,Stratechery,False
Founder,"Blueprint, Zeroism, KernelCo, OSFund, Braintree, Venmo",False
Founder,"Blueprint, Zeroism, KernelCo, OSFund, Braintree, Venmo",False
Founder,"Blueprint, Zeroism, KernelCo, OSFund, Braintree, Venmo",False
NA,SuperHi,False
NA,SuperHi,False
NA,SuperHi,False
NA,SuperHi,False
Founder,Idealab,False
Founder,Idealab,False
Founder,Idealab,False
President Emeritus,CFR,False
President Emeritus,CFR,False
NA,NA,False
Publisher,Skeptic Magazine,False
NA,NA,False
"Student, Practitioner of AI",Vianai Systems,True
"Student, Practitioner of AI",Vianai Systems,True
NA,Kleiner Perkins,False
NA,Kleiner Perkins,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,business,False
NA,The New York Times,False
co-founder,quillette,False
co-founder,quillette,False
NA,NA,False
NA,NA,False
NA,StJude,False
NA,NA,False
Angel investor,redpointvc,True
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NOAA,False
NA,NA,False
researcher,NYU,True
Blogger,onlyVerumNews,True
NA,NA,False
Staff writer,NewYorker,False
NA,NA,False
researcher,Microsoft Research,True
researcher,Microsoft Research,True
researcher,Microsoft Research,True
NA,NA,False
Publisher,gzeromedia,False
Research Manager,NVIDIA,True
Research Manager,NVIDIA,True
Research Manager,NVIDIA,True
Research Manager,NVIDIA,True
Research Manager,NVIDIA,True
Research Manager,NVIDIA,True
Research Manager,NVIDIA,True
NA,NA,False
NA,NA,False
Editor,Prospect UK,False
NA,NA,False
CEO,Replit,False
Founder,Uber,False
Founder,Uber,False
NA,NA,False
NA,NA,False
Actress,NA,False
NA,NA,False
Co-founder,AnswerDotAI & FastDotAI,True
Co-founder,AnswerDotAI & FastDotAI,True
Co-founder,AnswerDotAI & FastDotAI,True
Co-founder,AnswerDotAI & FastDotAI,True
NA,NA,True
NA,NA,True
NA,NA,True
NA,NA,True
NA,NA,True
NA,NA,True
NA,Yale,True
co-founder,Knowledge Discovery,True
co-founder,Knowledge Discovery,True
co-founder,Knowledge Discovery,True
NA,NA,False
GP,a16zcrypto,False
GP,a16zcrypto,False
GP,a16zcrypto,False
GP,a16zcrypto,False
GP,a16zcrypto,False
GP,a16zcrypto,False
co-founder,Paradigm and Coinbase,True
NA,NA,True
NA,NA,True
NA,NA,True
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,Columbia University,False
NA,platformer,False
NA,platformer,False
NA,Random House Group,False
NA,NA,False
Managing Director,YC Early Stage,False
NA,NA,True
NA,NA,False
CEO,Xiaomi,True
NA,NA,False
NA,NA,False
co-founder,"ModRetro, Oculus VR, Anduriltech",True
co-founder,"ModRetro, Oculus VR, Anduriltech",True
co-founder,"ModRetro, Oculus VR, Anduriltech",True
co-founder,"ModRetro, Oculus VR, Anduriltech",True
Shadow Chancellor of the Exchequer,NA,False
Director,DigEconLab,True
Director,DigEconLab,True
Director,DigEconLab,True
Director,DigEconLab,True
Director,DigEconLab,True
Director,DigEconLab,True
Director,DigEconLab,True
NA,NA,False
Investor,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
co-founder,"X, Indeed, Zillow",False
NA,proof_xyz,False
NA,NA,False
Professor,Wharton,True
Professor,Wharton,True
Professor,Wharton,True
Nephrologist,NA,False
Director of Investment Analysis & Institutional Strategies,ARKInvest,False
Host and executive producer,Bloomberg Originals,False
Host and executive producer,Bloomberg Originals,False
Host and executive producer,Bloomberg Originals,False
NA,Fine Arts Museums of San Francisco,False
Chairman,SilveradoPolicy,True
CEO,vercel,False
CEO,vercel,False
NA,NA,False
co-founder,Yelp,False
co-founder,Yelp,False
NA,Tesla,False
co-founder,HumaneTech,True
co-founder,HumaneTech,True
co-founder,HumaneTech,True
NA,Google,False
Professor,univofstandrews,False
NA,Instagram,False
Y,NA,False
Y,NA,False
Y,NA,False
NA,TheEconomist,False
NA,NA,False
NA,NA,False
Professor,NA,False
NA,NA,False
CEO,Shift4,False
NA,NA,False
NA,Lemondefr,False
NA,NA,False
Professor,Yale,False
co-founder,KrakenFX,False
NA,uniofreading,False
NA,NA,False
NA,Blizzard,False
NA,NA,False
Business Performance Speaker,NA,False
NA,KFF,False
Co-founder,Sinocism,False
NA,NA,False
NA,CNES,False
NA,NA,False
Editor-in-chief,The Verge,False
Cohost,ambXover,False
AI Gardener & Designer,Typeform,True
Infectious disease epidemiologist,JHSPH_CHS,False
Economist,Yale University,False
Chief Futurist,ARKInvest,True
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,Carbon Health,False
Astronaut,NASA,False
NA,NA,False
Writer,NA,False
NA,Dair AI,True
NA,NA,False
Chief Designer,Tesla,True
Founder,Signal,False
NA,NA,False
NA,NA,False
NA,NA,True
NA,NA,False
NA,NA,True
NA,VariantFund,False
Founder/CEO,TheOceanCleanup,False
Founder/CEO,TheOceanCleanup,False
Founder and CEO,Flexport,False
Founder and CEO,Flexport,False
Director of Cybersecurity,EFF,False
Director of Cybersecurity,EFF,False
NA,NA,True
NA,NA,True
Y,Bayer,False
NA,NA,False
Co-founder,Meta,True
Co-founder,Meta,True
Co-founder,Meta,True
Co-founder,Meta,True
Co-founder,Meta,True
Co-founder,Meta,True
NA,NA,False
CEO and Sales Manager,Market Securities Monaco SAM,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Co-founder & CEO,Brave Software,True
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,PNAS,False
co-founder,AGI Company,True
presenter,BBC Radio 4,False
NA,MSFT MORSE,False
researcher,Nvidia,True
NA,NA,False
researcher,citizenlab,True
NA,NA,False
NA,NA,False
NA,NA,True
NA,NA,True
NA,NA,True
NA,NA,True
NA,The Economist,False
co-founder,stripe,False
co-founder,stripe,False
NA,NA,False
founder,Grabien,False
founder,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
lead,Amazon,False
lead,Amazon,False
PhD student,Harvard,False
NA,NA,False
co-founder,"Fog Creek, Trello, Stack Overflow, Glitch",False
tech columnist,NA,False
tech columnist,NA,False
tech columnist,NA,False
NA,NA,False
Investigative reporter,NYT,False
NA,NA,False
NA,NA,False
Founder,spindl_xyz,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Founder,"Figure_robot, Archer Aviation",True
researcher,NA,True
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
VP of Research & Deep Learning Lead,Google DeepMind,True
VP of Research & Deep Learning Lead,Google DeepMind,True
VP of Research & Deep Learning Lead,Google DeepMind,True
VP of Research & Deep Learning Lead,Google DeepMind,True
VP of Research & Deep Learning Lead,Google DeepMind,True
