role,company,ai_related
Journalist,hntrbrkmedia,False
Journalist,hntrbrkmedia,False
Creator,The Marginalian,False
NA,NA,False
NA,NA,False
Automated Account,World Economic Forum,False
NA,NA,False
Creator,Tesla club,False
Publication,NA,False
Publication,NA,False
Publication,NA,False
Entrepreneur,OTKNetwork,False
NA,BBC News technology team,False
Publication,NA,False
CEO,GeniusGroupLTD,False
Professor,Stanford University,False
Professor,Stanford University,False
NA,NA,False
Publication,The New York Times,False
NA,NA,False
NA,NA,False
Marketer,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Prime Minister,Singapore,False
Prime Minister,Singapore,False
Journalist,NA,False
Managing Partner,a16zcrypto,True
