role,company,ai_related
President,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
President,NA,False
Prime Minister,India,False
NA,NA,False
NA,NA,False
NA,NA,False
President,United States of America,False
President,United States of America,False
President,United States of America,False
President,United States of America,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,Coachella,False
Founder,SKIMS; SKKN; SKKY Partners,False
Comedian,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Y,CNN Digital,False
Y,CNN,False
Y,NA,False
Y,NA,False
Y,NA,False
Y,NA,False
Y,BBC,False
Y,BBC,False
Y,BBC,False
Y,BBC,False
NA,NA,False
NA,NA,False
NA,NA,False
President,United States,False
President,United States,False
President,United States,False
President,United States,False
co-founder,SpaceX,True
co-founder,SpaceX,True
co-founder,SpaceX,True
co-founder,SpaceX,True
co-founder,SpaceX,True
NA,National Archives and Records Administration,False
NA,National Archives and Records Administration,False
NA,NA,False
"2016 Democratic Nominee, SecState, Senator",NA,False
CEO,X Super Official,False
NA,NA,False
NA,NA,False
NA,Reuters,False
NA,NA,False
NA,National Archives and Records Administration,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Actor,NA,False
Footballer,Liverpool FC,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
founder,NA,False
NA,Walmart,False
NA,United Nations,False
NA,United Nations,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
U.S. Senator,Vermont,False
NA,NA,False
NA,NA,False
NA,NA,False
Astrophysicist,NA,False
Astrophysicist,NA,False
Astrophysicist,NA,False
Astrophysicist,NA,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
CEO,Apple,False
Vice President,United States,False
NA,NA,False
NA,NA,False
NA,NA,False
Writer,NA,False
Writer,NA,False
Writer,NA,False
NA,National Archives and Records Administration,False
Congresswoman,NY-14,False
Congresswoman,NY-14,False
Founder,Clinton Foundation,False
